x1,y1,x2,y2,d,x
-39.567703,-49.591815999999994,-39.036026,-49.932693,1,0
-38.54992,-50.746063,-39.036026,-49.932693,1,0
-38.54992,-50.746063,-36.653976,-53.372948,0,1
-32.954002,-53.016785,-35.348335,-51.196827,1,0
-32.954002,-53.016785,-32.504909999999995,-55.16475,1,0
-34.515152,-53.06265,-35.348335,-51.196827,1,0
-34.515152,-53.06265,-39.036026,-49.932693,1,0
-32.504909999999995,-55.16475,-35.094227000000004,-54.36283,1,0
-32.504909999999995,-55.16475,-32.641335,-56.402325,1,0
-32.504909999999995,-55.16475,-32.739585999999996,-56.187443,1,0
-32.504909999999995,-55.16475,-39.384712,-49.702263,1,0
-32.504909999999995,-55.16475,-33.902770000000004,-54.10631600000001,1,0
-32.504909999999995,-55.16475,-35.268776,-52.351826,1,0
-32.504909999999995,-55.16475,-31.364908000000003,-56.41771,1,0
-32.504909999999995,-55.16475,-37.592247,-51.499912,1,0
-32.504909999999995,-55.16475,-37.474354,-51.686073,1,0
-32.504909999999995,-55.16475,-38.510944,-50.450558,1,0
-32.504909999999995,-55.16475,-31.324375,-56.452197999999996,1,0
-32.504909999999995,-55.16475,-39.567703,-49.591815999999994,1,0
-32.504909999999995,-55.16475,-34.994934,-54.42703,1,0
-32.504909999999995,-55.16475,-33.443012,-55.1552,1,0
-32.504909999999995,-55.16475,-34.25093,-54.349155,1,0
-32.504909999999995,-55.16475,-39.408516,-50.112404,1,0
-32.504909999999995,-55.16475,-35.690536,-52.777103000000004,1,0
-32.504909999999995,-55.16475,-35.248474,-51.306038,1,0
-32.504909999999995,-55.16475,-34.840637,-52.93761,1,0
-32.504909999999995,-55.16475,-39.416668,-50.265507,1,0
-32.504909999999995,-55.16475,-36.738503,-51.863735,1,0
-33.82689,-54.475019999999994,-32.504909999999995,-55.16475,1,0
-33.82689,-54.475019999999994,-35.348335,-51.196827,1,0
-33.82689,-54.475019999999994,-38.33508,-51.021774,1,0
-33.82689,-54.475019999999994,-35.773163000000004,-51.53862,1,0
-33.316994,-53.157759999999996,-35.773163000000004,-51.53862,1,0
-33.316994,-53.157759999999996,-38.33508,-51.021774,1,0
-36.738503,-51.863735,-35.773163000000004,-51.53862,1,0
-37.28993,-52.12337,-32.504909999999995,-55.16475,1,0
-37.28993,-52.12337,-35.773163000000004,-51.53862,1,0
-36.990387,-51.3083,-38.33508,-51.021774,1,0
-36.990387,-51.3083,-35.773163000000004,-51.53862,1,0
-36.990387,-51.3083,-32.504909999999995,-55.16475,1,0
-35.348335,-51.196827,-36.49419,-52.819922999999996,1,0
-35.348335,-51.196827,-38.94262,-51.804005,1,0
-35.348335,-51.196827,-39.416668,-50.265507,1,0
-35.348335,-51.196827,-36.303672999999996,-52.050144,1,0
-35.348335,-51.196827,-37.592247,-51.499912,1,0
-35.348335,-51.196827,-33.89808,-54.684155000000004,1,0
-35.348335,-51.196827,-37.743587,-49.904903000000004,1,0
-35.348335,-51.196827,-33.316994,-53.157759999999996,1,0
-35.348335,-51.196827,-31.324375,-56.452197999999996,1,0
-35.348335,-51.196827,-39.761517,-49.631844,1,0
-35.348335,-51.196827,-37.556503,-51.417823999999996,1,0
-35.348335,-51.196827,-38.755085,-50.43418,1,0
-35.348335,-51.196827,-38.54992,-50.746063,1,0
-35.348335,-51.196827,-39.567703,-49.591815999999994,1,0
-35.348335,-51.196827,-34.659027,-53.39643,1,0
-35.348335,-51.196827,-33.608784,-55.04744300000001,1,0
-35.348335,-51.196827,-32.21105,-56.370926000000004,1,0
-35.348335,-51.196827,-36.247516999999995,-52.353840000000005,1,0
-35.348335,-51.196827,-35.773163000000004,-51.53862,1,0
-35.348335,-51.196827,-34.25093,-54.349155,1,0
-33.443012,-55.1552,-35.773163000000004,-51.53862,1,0
-36.602886,-53.17171999999999,-35.348335,-51.196827,1,0
-36.602886,-53.17171999999999,-38.33508,-51.021774,1,0
-36.602886,-53.17171999999999,-35.773163000000004,-51.53862,1,0
-32.30312,-54.135773,-35.773163000000004,-51.53862,1,0
-32.30312,-54.135773,-35.348335,-51.196827,1,0
-33.608784,-55.04744300000001,-35.773163000000004,-51.53862,1,0
-36.247516999999995,-52.353840000000005,-35.773163000000004,-51.53862,1,0
-36.247516999999995,-52.353840000000005,-32.504909999999995,-55.16475,1,0
-36.247516999999995,-52.353840000000005,-39.036026,-49.932693,1,0
-35.268776,-52.351826,-38.33508,-51.021774,1,0
-35.268776,-52.351826,-35.773163000000004,-51.53862,1,0
-35.268776,-52.351826,-39.036026,-49.932693,1,0
-37.133976000000004,-51.933594,-35.348335,-51.196827,1,0
-37.133976000000004,-51.933594,-38.33508,-51.021774,1,0
-37.133976000000004,-51.933594,-32.504909999999995,-55.16475,1,0
-36.5538,-52.350636,-36.653976,-53.372948,0,1
-36.5538,-52.350636,-39.036026,-49.932693,1,0
-39.384712,-49.702263,-35.773163000000004,-51.53862,1,0
-38.94262,-51.804005,-38.33508,-51.021774,1,0
-38.94262,-51.804005,-32.504909999999995,-55.16475,1,0
-38.94262,-51.804005,-36.653976,-53.372948,0,1
-38.33508,-51.021774,-38.125656,-50.79694,1,0
-38.33508,-51.021774,-37.474354,-51.686073,1,0
-38.33508,-51.021774,-35.248474,-51.306038,1,0
-38.33508,-51.021774,-32.048984999999995,-56.38460500000001,1,0
-38.33508,-51.021774,-32.504909999999995,-55.16475,1,0
-38.33508,-51.021774,-34.291503999999996,-54.542526,1,0
-38.33508,-51.021774,-33.608784,-55.04744300000001,1,0
-38.33508,-51.021774,-39.036026,-49.932693,1,0
-38.33508,-51.021774,-32.493546,-53.563019999999995,1,0
-38.33508,-51.021774,-33.89808,-54.684155000000004,1,0
-38.33508,-51.021774,-36.303672999999996,-52.050144,1,0
-38.33508,-51.021774,-31.364908000000003,-56.41771,1,0
-38.33508,-51.021774,-38.755085,-50.43418,1,0
-38.33508,-51.021774,-38.510944,-50.450558,1,0
-38.33508,-51.021774,-34.659027,-53.39643,1,0
-38.33508,-51.021774,-38.761959999999995,-49.51222,1,0
-38.33508,-51.021774,-36.5538,-52.350636,1,0
-38.33508,-51.021774,-32.641335,-56.402325,1,0
-38.33508,-51.021774,-34.994934,-54.42703,1,0
-38.33508,-51.021774,-34.62445,-53.358433,1,0
-38.33508,-51.021774,-34.840637,-52.93761,1,0
-38.33508,-51.021774,-36.828987,-51.995315999999995,1,0
-39.416668,-50.265507,-38.33508,-51.021774,1,0
-33.902770000000004,-54.10631600000001,-38.33508,-51.021774,1,0
-33.902770000000004,-54.10631600000001,-39.036026,-49.932693,1,0
-33.902770000000004,-54.10631600000001,-35.348335,-51.196827,1,0
-32.543793,-55.011528000000006,-35.773163000000004,-51.53862,1,0
-35.094227000000004,-54.36283,-39.036026,-49.932693,1,0
-32.739585999999996,-56.187443,-38.33508,-51.021774,1,0
-32.739585999999996,-56.187443,-35.773163000000004,-51.53862,1,0
-32.325109999999995,-53.904284999999994,-35.348335,-51.196827,1,0
-31.324375,-56.452197999999996,-38.33508,-51.021774,1,0
-31.324375,-56.452197999999996,-35.773163000000004,-51.53862,1,0
-36.653976,-53.372948,-32.493546,-53.563019999999995,0,1
-36.653976,-53.372948,-37.074562,-51.187763000000004,0,1
-36.653976,-53.372948,-35.348335,-51.196827,1,1
-36.653976,-53.372948,-33.902770000000004,-54.10631600000001,0,1
-36.653976,-53.372948,-38.33508,-51.021774,1,1
-36.653976,-53.372948,-36.738503,-51.863735,0,1
-32.371014,-56.222457999999996,-39.036026,-49.932693,1,0
-32.371014,-56.222457999999996,-35.348335,-51.196827,1,0
-32.371014,-56.222457999999996,-38.33508,-51.021774,1,0
-32.371014,-56.222457999999996,-32.504909999999995,-55.16475,1,0
-38.960609999999996,-50.593315000000004,-39.036026,-49.932693,1,0
-38.960609999999996,-50.593315000000004,-35.773163000000004,-51.53862,1,0
-38.960609999999996,-50.593315000000004,-38.33508,-51.021774,1,0
-34.659027,-53.39643,-36.653976,-53.372948,0,1
-35.773163000000004,-51.53862,-39.567703,-49.591815999999994,1,0
-35.773163000000004,-51.53862,-32.580017,-53.662346,1,0
-35.773163000000004,-51.53862,-37.592247,-51.499912,1,0
-35.773163000000004,-51.53862,-32.504909999999995,-55.16475,1,0
-35.773163000000004,-51.53862,-32.371014,-56.222457999999996,1,0
-35.773163000000004,-51.53862,-38.02864,-52.827053,1,0
-35.773163000000004,-51.53862,-36.49419,-52.819922999999996,1,0
-35.773163000000004,-51.53862,-37.474354,-51.686073,1,0
-35.773163000000004,-51.53862,-39.036026,-49.932693,1,0
-35.773163000000004,-51.53862,-39.761517,-49.631844,1,0
-35.773163000000004,-51.53862,-31.364908000000003,-56.41771,1,0
-35.773163000000004,-51.53862,-35.248474,-51.306038,1,0
-35.773163000000004,-51.53862,-36.5538,-52.350636,1,0
-35.773163000000004,-51.53862,-38.125656,-50.79694,1,0
-35.773163000000004,-51.53862,-39.416668,-50.265507,1,0
-35.773163000000004,-51.53862,-34.452206,-53.66814,1,0
-35.773163000000004,-51.53862,-36.828987,-51.995315999999995,1,0
-35.773163000000004,-51.53862,-38.33508,-51.021774,1,0
-35.773163000000004,-51.53862,-35.690536,-52.777103000000004,1,0
-35.773163000000004,-51.53862,-34.659027,-53.39643,1,0
-35.773163000000004,-51.53862,-32.641335,-56.402325,1,0
-39.408516,-50.112404,-39.036026,-49.932693,1,0
-37.592247,-51.499912,-39.036026,-49.932693,1,0
-37.592247,-51.499912,-36.653976,-53.372948,0,1
-37.592247,-51.499912,-38.33508,-51.021774,1,0
-32.580017,-53.662346,-32.504909999999995,-55.16475,1,0
-32.580017,-53.662346,-36.653976,-53.372948,0,1
-32.580017,-53.662346,-38.33508,-51.021774,1,0
-34.62445,-53.358433,-35.348335,-51.196827,1,0
-32.493546,-53.563019999999995,-35.348335,-51.196827,1,0
-32.493546,-53.563019999999995,-32.504909999999995,-55.16475,1,0
-34.97232,-53.240078000000004,-35.348335,-51.196827,1,0
-34.97232,-53.240078000000004,-32.504909999999995,-55.16475,1,0
-34.97232,-53.240078000000004,-39.036026,-49.932693,1,0
-34.630833,-53.43439,-36.653976,-53.372948,0,1
-34.630833,-53.43439,-38.33508,-51.021774,1,0
-39.586132,-50.066788,-35.773163000000004,-51.53862,1,0
-33.89808,-54.684155000000004,-36.653976,-53.372948,0,1
-33.89808,-54.684155000000004,-32.504909999999995,-55.16475,1,0
-34.452206,-53.66814,-35.348335,-51.196827,1,0
-37.474354,-51.686073,-35.348335,-51.196827,1,0
-32.048984999999995,-56.38460500000001,-36.653976,-53.372948,0,1
-32.048984999999995,-56.38460500000001,-35.773163000000004,-51.53862,1,0
-37.556503,-51.417823999999996,-38.33508,-51.021774,1,0
-37.556503,-51.417823999999996,-39.036026,-49.932693,1,0
-38.510944,-50.450558,-35.348335,-51.196827,1,0
-36.828987,-51.995315999999995,-35.348335,-51.196827,1,0
-36.828987,-51.995315999999995,-36.653976,-53.372948,0,1
-36.828987,-51.995315999999995,-32.504909999999995,-55.16475,1,0
-36.828987,-51.995315999999995,-39.036026,-49.932693,1,0
-38.755085,-50.43418,-32.504909999999995,-55.16475,1,0
-38.755085,-50.43418,-39.036026,-49.932693,1,0
-38.755085,-50.43418,-35.773163000000004,-51.53862,1,0
-34.840637,-52.93761,-36.653976,-53.372948,0,1
-31.364908000000003,-56.41771,-39.036026,-49.932693,1,0
-31.364908000000003,-56.41771,-35.348335,-51.196827,1,0
