x1,y1,x2,y2,d,x
-33.182815999999995,-32.925270000000005,-34.116946999999996,-21.783297,1,0
-28.447917999999998,-14.256751999999999,-34.116946999999996,-21.783297,1,0
-28.447917999999998,-14.256751999999999,-20.62109,-10.688580499999999,0,1
-33.20639,-32.741665000000005,-19.840977,-10.579582,1,0
-33.20639,-32.741665000000005,3.2708845,-16.343939000000002,1,0
-31.330349,-36.476040000000005,-19.840977,-10.579582,1,0
-31.330349,-36.476040000000005,-34.116946999999996,-21.783297,1,0
3.2708845,-16.343939000000002,-0.6072949000000001,-14.705619,1,0
3.2708845,-16.343939000000002,-34.487353999999996,-25.732492,1,0
3.2708845,-16.343939000000002,-27.250788,-42.42608,1,0
3.2708845,-16.343939000000002,-33.693073,-20.37,1,0
3.2708845,-16.343939000000002,-33.318134,-19.742217999999998,1,0
3.2708845,-16.343939000000002,-33.284620000000004,-32.452095,1,0
3.2708845,-16.343939000000002,-21.732954,-10.879827,1,0
3.2708845,-16.343939000000002,-32.630276,-18.732004,1,0
3.2708845,-16.343939000000002,-21.570383,-48.4548,1,0
3.2708845,-16.343939000000002,-25.258543,-44.627359999999996,1,0
3.2708845,-16.343939000000002,-28.946346000000002,-40.219837,1,0
3.2708845,-16.343939000000002,-33.182815999999995,-32.925270000000005,1,0
3.2708845,-16.343939000000002,-33.350082,-32.164707,1,0
3.2708845,-16.343939000000002,-33.838013000000004,-20.807869,1,0
3.2708845,-16.343939000000002,-33.16643,-19.49887,1,0
3.2708845,-16.343939000000002,-26.176945,-43.642845,1,0
3.2708845,-16.343939000000002,-33.478966,-19.999311,1,0
3.2708845,-16.343939000000002,-32.779655,-33.85422,1,0
3.2708845,-16.343939000000002,-28.945992999999998,-40.225544,1,0
3.2708845,-16.343939000000002,-27.393241999999997,-42.240776000000004,1,0
3.2708845,-16.343939000000002,-27.367765000000002,-42.2871,1,0
-23.169867,-46.736443,3.2708845,-16.343939000000002,1,0
-23.169867,-46.736443,-19.840977,-10.579582,1,0
-23.169867,-46.736443,-34.485896999999994,-25.199728,1,0
-23.169867,-46.736443,-22.211123,-47.664898,1,0
-33.295048,-19.703894000000002,-22.211123,-47.664898,1,0
-33.295048,-19.703894000000002,-34.485896999999994,-25.199728,1,0
-27.367765000000002,-42.2871,-22.211123,-47.664898,1,0
-33.491314,-31.62551,3.2708845,-16.343939000000002,1,0
-33.491314,-31.62551,-22.211123,-47.664898,1,0
-30.486319,-16.247816,-34.485896999999994,-25.199728,1,0
-30.486319,-16.247816,-22.211123,-47.664898,1,0
-30.486319,-16.247816,3.2708845,-16.343939000000002,1,0
-19.840977,-10.579582,-28.288272999999997,-41.08835,1,0
-19.840977,-10.579582,-34.179584999999996,-22.148907,1,0
-19.840977,-10.579582,-27.393241999999997,-42.240776000000004,1,0
-19.840977,-10.579582,-32.977340000000005,-33.268658,1,0
-19.840977,-10.579582,-32.630276,-18.732004,1,0
-19.840977,-10.579582,-9.253014,-11.352011,1,0
-19.840977,-10.579582,-25.842464,-44.010014,1,0
-19.840977,-10.579582,-33.295048,-19.703894000000002,1,0
-19.840977,-10.579582,-28.946346000000002,-40.219837,1,0
-19.840977,-10.579582,-28.743896000000003,-40.486571999999995,1,0
-19.840977,-10.579582,-29.969497999999998,-38.738712,1,0
-19.840977,-10.579582,-33.187744,-32.81765,1,0
