com,v,rad
0,1.264796312,lle
0,1.874973487,le
0,1.06465,sdne
0,1.332501686,gf
0,0.526610769,deepwalk
0,0.490298557,node2vec
1,1.640305222,lle
1,0.879726136,le
1,0.86431508,sdne
1,1.12842072,gf
1,0.672629334,deepwalk
1,0.595576577,node2vec
2,1.482730455,lle
2,0.954716082,le
2,0.876903379,sdne
2,1.47016799,gf
2,0.785335548,deepwalk
2,0.50577612,node2vec
3,0.984172796,lle
3,1.32474247,le
3,0.663542384,sdne
3,0.895654895,gf
3,0.657424008,deepwalk
3,0.529227109,node2vec
4,0.898926702,lle
4,1.34788849,le
4,0.766651005,sdne
4,0.850719773,gf
4,0.635718211,deepwalk
4,0.62866946,node2vec
5,1.201099368,lle
5,0.860617399,le
5,1.015958899,sdne
5,0.862542235,gf
5,0.6370606,deepwalk
5,0.966795669,node2vec
6,0.943925262,lle
6,0.848107943,le
6,0.586239872,sdne
6,0.819581031,gf
6,0.627582933,deepwalk
6,0.516454158,node2vec
7,1.237199913,lle
7,1.058532718,le
7,0.830210984,sdne
7,0.929081898,gf
7,0.890697149,deepwalk
7,0.674645574,node2vec
8,0.957092543,lle
8,1.703992256,le
8,0.754442355,sdne
8,0.815240263,gf
8,0.747297758,deepwalk
8,0.891283986,node2vec
9,0.954140417,lle
9,1.436514579,le
9,0.688625905,sdne
9,1.146990711,gf
9,0.695067527,deepwalk
9,0.650628208,node2vec
10,1.091658154,lle
10,1.251541853,le
10,1.048194393,sdne
10,1.029107934,gf
10,0.686292976,deepwalk
10,0.604832389,node2vec
11,0.918127056,lle
11,1.093025565,le
11,0.719238829,sdne
11,1.326277535,gf
11,0.512261122,deepwalk
11,0.515515678,node2vec
12,1.374201112,lle
12,0.870544255,le
12,0.605071158,sdne
12,1.337975682,gf
12,0.515000264,deepwalk
12,0.640303312,node2vec
13,0.917115845,lle
13,1.448371948,le
13,0.727729496,sdne
13,1.075477363,gf
13,0.732012789,deepwalk
13,0.812677248,node2vec
14,1.413637008,lle
14,0.823914915,le
14,0.982552068,sdne
14,0.819581031,gf
14,0.83395371,deepwalk
14,0.617712868,node2vec
15,1.975986733,lle
15,0.866039941,le
15,0.590905653,sdne
15,0.913981345,gf
15,0.833427333,deepwalk
15,0.462715564,node2vec
16,0.973687012,lle
16,0.819432498,le
16,0.667432332,sdne
16,0.914930474,gf
16,0.633860987,deepwalk
16,0.579633843,node2vec
