id,x,y
1,1.8914613,6.4352913
0,-27.73696,11.133132
2,7.169792,4.12947
3,-13.052022,20.097324
4,-26.92815,-2.4844732
5,16.436586,2.0777304
6,10.578436,25.29101
7,0.36999667,4.9678183
8,2.4540517,17.378101
9,-5.1637607,14.743008
10,-22.212461,-4.9531446
11,-2.674367,6.3640914
12,-3.8980434,3.8487935
13,8.405736,-9.130096
14,-14.5935545,5.0409527
15,15.312428,-19.917925
16,-21.256086,22.19932
17,-20.236307,7.2680345
18,14.693849,-11.30292
19,22.709532,1.7601206
20,19.318121,-5.1438804
21,26.783062,3.862509
22,-23.747042,3.7350137
23,-0.5353185,0.26696503
24,5.8233323,-18.735111
25,-13.985064,1.4320447
26,8.338514,-16.474962
27,-17.560247,-28.72018
28,13.840569,7.984697
29,-5.1438174,-21.01081
30,17.499922,22.102518
31,-6.2642813,17.800135
32,22.737469,8.472305
33,0.5786055,-11.762948
34,12.132538,18.78044
35,15.989561,7.894338
36,-3.0738711,-11.906389
37,-5.354268,-11.83764
38,-5.376938,-8.042621
39,4.8133545,-3.5373685
40,12.616188,4.647407
41,0.30783537,-2.8515422
42,-15.277939,-1.063327
43,-18.588118,3.641616
44,6.065944,-9.131199
45,2.867277,2.839608
46,3.7379842,20.711264
47,-14.484212,-7.6204042
48,5.302539,1.7120035
49,1.0834109,-7.3456335
50,7.199049,1.6115851
51,-6.455043,-3.924169
52,3.0362978,10.793275
53,-20.127987,13.118647
54,-23.105005,-22.428629
55,-0.7399456,-24.673592
56,-7.42638,16.257755
57,9.478029,20.236597
58,15.761664,26.058838
59,-18.392496,21.393715
60,20.7695,1.4994577
61,-14.305513,14.473476
62,18.21297,2.8661382
63,17.04721,14.72836
64,-9.369705,-25.308287
65,-15.239207,15.31794
66,-0.633913,15.453039
67,17.840025,-25.857775
68,-8.412319,-24.058329
69,-11.567002,11.392943
70,6.1611032,14.665504
71,-6.220496,11.91629
72,-5.1301727,-19.483551
73,2.3007603,-15.5180435
74,-3.7880456,-2.6917222
75,-6.5305676,-6.6926894
76,-9.603656,-9.857072
77,-13.4818125,10.305095
78,-9.320261,18.02789
79,-8.921416,19.81883
80,-13.235212,-11.4303055
81,25.391426,9.78131
82,19.124653,9.236912
83,9.011937,13.868834
84,0.8419998,7.2210116
85,20.764322,0.5593689
86,19.199749,26.33717
87,-1.42119,-19.741041
88,-2.8271449,31.939001
89,-4.300393,-1.1464655
90,18.734251,-2.617377
91,18.661037,13.35732
92,19.200281,-5.2191916
93,-11.227656,5.7850285
94,-3.7129228,-8.752435
95,-12.377675,-8.523206
96,-5.432845,23.557001
97,5.3000183,-31.662575
98,-0.9402815,8.217662
99,-21.954437,-5.3073955
100,-18.706114,-0.20243561
101,14.945866,25.80653
102,-11.071308,5.652521
103,7.0233846,-16.56533
104,-5.51142,2.9120083
105,12.682356,-2.790174
106,-8.217039,-8.594269
107,28.806229,6.8629503
108,13.06559,0.794581
109,7.0561934,-21.130396
110,6.600523,-10.712481
111,3.8122945,11.297389
112,9.462273,12.299549
113,1.0885038,-24.750805
114,-2.8286223,11.514308
115,0.7427276,12.484763
116,-5.478473,5.0781946
117,0.2908158,-22.158602
118,-0.85048556,19.642065
119,-2.6692293,-0.63718724
120,16.26376,6.9692993
121,12.208769,-9.6858635
122,25.904028,-5.09316
123,13.205798,3.3331
124,9.408014,17.681137
125,-8.997036,-5.3065124
126,-20.321812,-14.497612
127,-3.5574715,-14.244761
128,-16.470652,-17.873623
129,25.449509,9.64162
130,-29.593311,1.3609972
131,25.352303,-11.203402
132,-0.015506331,8.94214
133,-1.7609754,-6.9224277
134,10.31294,-0.9219635
135,-6.0941286,11.088624
136,8.6819515,21.972157
137,-14.027623,-9.67611
138,14.25472,14.955086
139,12.629331,-9.749774
140,-30.851273,8.42748
141,-12.621163,-2.198744
142,-2.4367523,-20.96767
143,-23.609905,3.6949441
144,-0.39086905,0.8137462
145,-18.909435,-8.746717
146,21.568405,5.287392
147,12.544432,11.523196
148,19.930271,-11.336116
149,10.745772,-2.089917
150,5.376479,5.532311
151,-11.7822,12.166334
152,-0.16830966,23.086695
153,-21.751791,1.505289
154,-15.316766,-7.26851
155,-15.536042,-0.9834592
156,10.984608,-2.3181102
157,26.855684,3.7308567
