x1,y1,x2,y2,d,x
1.1649742,-4.805904,-15.868488000000001,-12.775139,0,1
1.1649742,-4.805904,19.480429,-3.2855339999999997,0,1
1.1649742,-4.805904,4.5855284,5.531801000000001,0,1
1.1649742,-4.805904,14.424854999999999,-11.975083999999999,0,1
1.1649742,-4.805904,-19.074398000000002,-11.726874,0,1
1.1649742,-4.805904,25.476983999999998,-13.2583275,0,1
1.1649742,-4.805904,-8.528735000000001,21.390287,0,1
1.1649742,-4.805904,10.767014999999999,0.19156629,0,1
1.1649742,-4.805904,-6.220128,-22.528904,0,1
-19.471186,15.524796499999999,1.1649742,-4.805904,0,1
11.650300999999999,7.209944999999999,1.1649742,-4.805904,0,1
-13.570711,23.701721,1.1649742,-4.805904,0,1
-13.570711,23.701721,-4.8550625,3.136597,1,0
-4.8550625,3.136597,19.480429,-3.2855339999999997,1,0
-4.8550625,3.136597,-1.6582203999999998,-21.518604,1,0
-4.8550625,3.136597,-19.471186,15.524796499999999,1,0
-4.8550625,3.136597,17.951231,-11.653145,1,0
-4.8550625,3.136597,-19.074398000000002,-11.726874,1,0
-4.8550625,3.136597,-12.915396000000001,14.1186495,1,0
-4.8550625,3.136597,-3.7616704,-22.390667,1,0
-4.8550625,3.136597,0.46154496,4.378697,1,0
-4.8550625,3.136597,16.494583,-13.653332,1,0
-4.8550625,3.136597,14.424854999999999,-11.975083999999999,1,0
-4.8550625,3.136597,26.074131,-14.63142,1,0
-4.8550625,3.136597,-9.968319000000001,24.596014,1,0
-4.8550625,3.136597,-9.707004,10.519342,1,0
-4.8550625,3.136597,-4.1436696,-23.79277,1,0
-4.8550625,3.136597,11.650300999999999,7.209944999999999,1,0
-4.8550625,3.136597,4.5855284,5.531801000000001,1,0
-4.8550625,3.136597,14.705925,-1.6574906999999999,1,0
-4.8550625,3.136597,30.718473,-5.8618684000000005,1,0
-4.8550625,3.136597,-15.729857999999998,27.868652,1,0
-4.8550625,3.136597,-4.4400325,2.7483087000000004,1,0
-4.8550625,3.136597,4.6968684000000005,3.0455182,1,0
25.788464,-15.265128,-4.8550625,3.136597,1,0
-14.914878,-4.936741400000001,-4.8550625,3.136597,1,0
-5.557503700000001,18.54465,-4.8550625,3.136597,1,0
5.521814,-20.438843,-4.8550625,3.136597,1,0
-15.877917000000002,1.5403122,-4.8550625,3.136597,1,0
-8.553896,-5.1866965,-4.8550625,3.136597,1,0
-8.553896,-5.1866965,1.1649742,-4.805904,0,1
