x1,y1,x2,y2,d,x
5.319514,7.03295,-1.8756686000000002,-12.339735000000001,0,1
5.319514,7.03295,24.767378,-5.690878400000001,0,1
5.319514,7.03295,-6.263714,0.3860611,0,1
5.319514,7.03295,16.700665,12.834023,0,1
5.319514,7.03295,25.552529999999997,-18.467121,0,1
5.319514,7.03295,-12.423916,-0.14051232,0,1
5.319514,7.03295,10.834842,-10.202254,0,1
5.319514,7.03295,5.4598927,-3.9881425000000004,0,1
5.319514,7.03295,13.2399845,-19.016117,0,1
-3.342768,7.144880000000001,5.319514,7.03295,0,1
-3.5429926,4.9988103,5.319514,7.03295,0,1
7.627471000000001,2.6662862,5.319514,7.03295,0,1
7.627471000000001,2.6662862,2.759763,-4.2265916,1,0
2.759763,-4.2265916,24.767378,-5.690878400000001,1,0
2.759763,-4.2265916,10.9322405,5.4500647,1,0
2.759763,-4.2265916,-3.342768,7.144880000000001,1,0
2.759763,-4.2265916,-9.912664999999999,-10.8128395,1,0
2.759763,-4.2265916,25.552529999999997,-18.467121,1,0
2.759763,-4.2265916,28.26473,-10.512343,1,0
2.759763,-4.2265916,13.887922,-24.908455,1,0
2.759763,-4.2265916,12.299864,-12.284653,1,0
2.759763,-4.2265916,-1.2166535,4.060239299999999,1,0
2.759763,-4.2265916,16.700665,12.834023,1,0
2.759763,-4.2265916,-1.5852581000000001,12.596457000000001,1,0
2.759763,-4.2265916,-12.877019,-19.270912,1,0
2.759763,-4.2265916,-10.6935625,-22.453348000000002,1,0
2.759763,-4.2265916,-14.701115,2.162649,1,0
2.759763,-4.2265916,-3.5429926,4.9988103,1,0
2.759763,-4.2265916,-6.263714,0.3860611,1,0
2.759763,-4.2265916,-17.112126999999997,21.519289,1,0
2.759763,-4.2265916,-4.793513,-17.275316,1,0
2.759763,-4.2265916,5.930401,-14.461164000000002,1,0
2.759763,-4.2265916,27.504751000000002,-9.049521,1,0
2.759763,-4.2265916,20.298407,-6.314409700000001,1,0
-7.8557725000000005,-10.2242985,2.759763,-4.2265916,1,0
-5.175197,6.8635945000000005,2.759763,-4.2265916,1,0
11.351106,-19.06385,2.759763,-4.2265916,1,0
-12.987753999999999,2.7380192,2.759763,-4.2265916,1,0
-8.418661,2.173295,2.759763,-4.2265916,1,0
-26.359371000000003,5.6653843,2.759763,-4.2265916,1,0
-26.359371000000003,5.6653843,5.319514,7.03295,0,1
-15.449638,0.43183009999999994,8.234139,12.744033,1,0
4.3172793,4.534994599999999,2.759763,-4.2265916,1,0
13.887922,-24.908455,5.319514,7.03295,0,1
13.887922,-24.908455,5.69385,-24.091026,1,0
13.845332999999998,9.772654,2.759763,-4.2265916,1,0
10.9322405,5.4500647,2.321018,21.35528,1,0
18.935778,-3.7417190000000002,2.759763,-4.2265916,1,0
25.36215,-17.136536,5.319514,7.03295,0,1
9.000374,-16.463198000000002,2.759763,-4.2265916,1,0
28.26473,-10.512343,12.001771000000002,-21.922897,1,0
