id,x,y
0,10.355341,6.0794477
1,11.776773,40.297848
2,12.316784,38.647655
3,11.937998,39.113186
4,12.080285,39.667206
5,12.455596,37.23833
6,11.858355,39.173244
7,11.902171,37.094006
8,11.331339,36.680367
9,10.8601675,39.175793
10,11.138709,37.799465
11,10.874935,40.006607
12,10.60952,40.26372
13,11.050352,38.989616
14,10.497614,36.96035
15,9.788866,37.108654
16,10.254292,36.742157
17,10.866344,38.009937
18,10.028866,37.423298
19,10.045592,37.370823
20,10.218239,40.758514
21,9.477819,38.020134
22,10.076746,37.38418
23,10.006749,38.647728
24,10.414917,40.449833
25,10.219216,39.53023
26,10.187592,39.26662
27,10.124809,39.694916
28,10.004003,37.904896
29,11.138398,38.147827
30,10.725249,36.759586
31,10.144744,38.462578
32,11.242974,37.78461
33,10.95723,38.278873
34,11.199738,40.766216
35,10.2795925,38.94643
36,11.424889,36.951923
37,11.153714,37.89646
38,11.113567,37.069317
39,11.911429,38.582222
40,11.687567,39.05274
41,11.257127,38.693634
42,6.915902,1.8725867
43,9.764728,-41.091553
44,10.917473,-37.9183
45,9.500605,-40.639282
46,9.890454,-39.77847
47,10.162874,-38.867542
48,10.529047,-38.102047
49,10.456975,-38.937725
50,9.469944,-38.353764
51,9.438411,-38.41183
52,9.539389,-39.039528
53,9.016192,-37.68208
54,9.391129,-39.043854
55,11.01783,-36.635853
56,10.449185,-36.72129
57,10.3874,-35.9275
58,8.894139,-38.89867
59,9.014647,-39.53857
60,10.787891,-37.110516
61,10.90269,-37.0489
62,10.773703,-37.110302
63,9.8838625,-36.67961
64,9.937192,-37.31451
65,10.174892,-38.48254
66,10.174588,-38.528053
67,10.46447,-39.341057
68,10.075577,-39.34621
69,10.121117,-39.31738
70,9.102601,-39.51091
71,10.32437,-37.821243
72,10.451528,-36.79255
73,10.182859,-39.30757
74,9.968519,-36.784046
75,9.606667,-37.0827
76,10.037575,-37.143436
77,9.571186,-39.58066
78,8.48677,-39.5228
79,11.308164,-37.73075
80,8.966113,-40.46628
81,9.68628,-40.215336
82,9.03544,-40.729313
83,9.330657,-40.87138
84,5.55112,2.7730563
85,-27.233734,19.354465
86,-27.71973,19.25989
87,-26.966108,17.932692
88,-26.957958,18.055634
89,-27.231888,18.332172
90,-26.700592,20.227434
91,-26.155289,18.007408
92,-26.876324,19.279997
93,-26.618593,18.941996
94,-25.96886,19.409492
95,-25.617086,20.30269
96,-26.115269,20.288452
97,-25.948553,20.58792
98,-26.573513,19.35181
99,-24.901936,17.88725
100,-25.47752,20.26295
101,-26.046291,19.194122
102,-26.09413,21.56341
103,-25.219366,19.079012
104,-26.361107,19.201485
105,-26.689278,17.638857
106,-25.813156,18.999508
107,-26.27466,20.45205
108,-25.922464,21.213886
109,-26.123856,18.939571
110,-26.387474,19.572836
111,-26.598959,20.894432
112,-26.041838,18.118412
113,-26.655111,18.821466
114,-26.58397,20.624407
115,-26.384604,20.471466
116,-25.966259,17.62103
117,-25.918118,17.46772
118,-27.098377,20.346546
119,-25.684246,16.670923
120,-27.428772,18.51551
121,-26.464254,17.114832
122,-27.08474,20.388182
123,-25.799505,17.13565
124,-26.94419,17.059887
125,7.311182,-2.6243095
126,11.114505,1.7734913
127,12.105675,0.30869603
128,11.60722,0.08968085
129,14.445233,-3.562947
130,15.021602,-4.538832
131,11.623807,-2.0704834
132,14.422907,-4.8589554
133,12.0019045,0.06517711
134,13.743161,-5.0307035
135,14.453563,-3.3500674
136,14.934753,-4.5826206
137,12.987192,-4.993148
138,12.307698,-4.107559
139,14.472197,-5.795022
140,12.772199,-4.6417875
141,15.389965,-5.0883317
142,14.874993,-6.007351
143,13.961406,-5.793498
144,14.465712,-6.2345986
145,12.60236,-0.48986265
146,12.424301,-4.5371685
147,12.238224,-1.8643627
148,14.776976,-4.6346045
149,12.130832,-3.6789858
150,13.624157,-0.29895052
151,12.631275,-1.4426916
152,12.4544525,0.2887603
153,12.187988,-1.6434903
154,11.759819,-0.22619194
155,11.518676,-0.3078003
156,11.5740795,-2.525765
157,10.848493,-0.6919384
158,11.413447,-0.40902972
159,13.238829,0.10535471
160,13.133569,-1.0361046
161,11.6461115,-2.358592
162,13.204086,-1.3546785
163,13.842398,-3.532893
164,10.911921,0.769909
165,11.596644,-2.1123745
166,13.132217,0.095152594
167,10.927046,-0.55906534
168,11.561881,-1.104047
169,11.649801,0.6763011
170,10.909187,1.3001068
171,12.61405,-1.4583131
172,14.04728,-4.83892
173,14.922706,-6.553974
174,12.326599,-0.6894127
175,15.022693,-5.605228
176,14.5454235,-4.744145
177,13.698235,-5.443744
178,14.898206,-6.0108843
179,13.006752,-5.0153403
180,14.38362,-2.6229417
181,15.121901,-6.687826
182,15.172157,-4.3176317
183,15.401153,-3.8714411
184,14.436406,-3.493286
185,10.976883,-0.165898
186,14.476051,-3.9202285
187,12.864593,-1.6097882
188,12.426524,0.9061749
189,12.883011,0.70117015
190,11.579539,1.3602736
191,11.496163,1.8314446
192,10.861868,0.849179
193,12.629119,1.194513
194,12.544148,1.5920275
195,6.57773,-3.685422
196,-32.359497,-12.649575
197,-32.566998,-7.8428025
198,-32.687725,-12.062164
199,-32.9198,-13.043847
