ori
 ,,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC,ANB_G,SP
,rate-25,0.00428995983935743,0.4883515162108957,1.0,0.8952572324802152,14.383838550780485,0.20827057606218294,0.212530011814567,0.18110026071955082,0.001964439122889202,2.0639100401606427
,rate-30,0.0035022782878049866,0.4925536086389323,1.0,0.8751382043307296,16.584814191436102,0.20297839739827267,0.2072094255046205,0.14876084319422064,0.0019057387762228448,2.0436789297658864
,rate-35,0.0029557685340710726,0.49563533177330604,1.0,0.8979991117782941,18.709316844531106,0.19062457177908557,0.1923816591038281,0.16415281325075054,0.0018161001429987781,2.0286074498567332
,rate-40,0.0026192491278447367,0.49221955011328583,1.0,0.9191413208922425,20.61724415409158,0.17828960065252913,0.18345432864329672,0.1227007744863653,0.0016955312650213962,2.0424611528822054
RJ
,rate-5,0.033503401360544215,0.23431006116861655,7.6,0.8108159402957469,3.629972960496656,0.06383070263070263,0.09363728331467688,0.19584388251196294,0.001073918095267874,4.00600734423862
,rate-10,0.0181038961038961,0.35447936987726225,2.4,0.8406156831800408,6.670823942469357,0.11758312314931815,0.128711769458559,0.34953989145686054,0.001189645348264642,2.8262218492520406
,rate-15,0.011255335872785538,0.3793017610429244,1.2,0.9077932654746885,9.31880786703954,0.10747804929135577,0.10334078704748333,0.15931628390891206,0.0010248756171908743,2.670760263619324
,rate-20,0.0076805238312776,0.40107464350245925,1.0,0.8908274556598513,12.108054016293362,0.11259984836257494,0.10930641728151154,0.3178514755308279,0.0010400609111973866,2.5207437185929646
,rate-25,0.005767456924472082,0.41539509602921465,1.0,0.9111594792801911,14.693489395201572,0.11183768783266221,0.10757436095890208,0.2965447071274335,0.0010348459407453106,2.4303293172690763
,rate-30,0.0045454273379572484,0.4283360009991696,1.0,0.9116237321467014,16.794068685309576,0.11744400861562224,0.1139924655790742,0.3959952549767799,0.0010711023701972615,2.35453734671126
,rate-35,0.003819921803322652,0.4327254751918609,1.0,0.936845218215946,19.04679389825609,0.1041274389916201,0.10141521969143712,0.5109981671305392,0.001020698961668183,2.3293327875562833
,rate-40,0.0032498205312275646,0.4394574805283762,1.0,0.8998366018111359,21.484037510094744,0.11123746875625037,0.11003003109823906,0.4467423015507654,0.001046977913874194,2.293428571428571
RNS
,rate-5,0.027159863945578226,0.1783259115592499,12.4,0.8304900506913278,3.542961583444343,0.03292063492063492,0.07080943433128359,0.15117608608627833,0.0009880267902547804,4.68101167301286
,rate-10,0.018967635539064113,0.3218242156806458,4.2,0.8871715036920271,6.683080035437255,0.08985587788574327,0.10089840919591637,0.3030035785697751,0.0009814605837184444,2.9872725057167093
,rate-15,0.01080839228490235,0.38595828661003784,1.6,0.863064547205411,9.485335577693057,0.11008474731722676,0.10341642002863376,0.14639716019330912,0.0010924721295260127,2.613608634333572
,rate-20,0.007488249327445308,0.40623649047395816,1.2,0.8925994855036088,12.012415107306229,0.1093409022358967,0.10793525729454875,0.4606159902996064,0.0011003948702654534,2.4857403177503676
,rate-25,0.005740795439823809,0.416749102048154,1.0,0.8282905531084832,14.200120651063788,0.11649512016935919,0.11536760766397425,0.375891283331223,0.0010859907423786236,2.423717269076305
,rate-30,0.004625335757521344,0.424046773889707,1.0,0.8865680506409503,16.778571080974622,0.10683790812286673,0.10366910716959452,0.5432137035431908,0.001044269119256954,2.37835005574136
,rate-35,0.0038405484118358333,0.43132598686523443,1.0,0.878990788608556,18.819749688219453,0.11065399544181631,0.10809162311947447,0.3875906854584629,0.0010174668424079737,2.3365108473188707
,rate-40,0.0032472638883641242,0.43958651318987074,1.0,0.899694472138265,21.31452621637701,0.10772045156654882,0.10643525761055994,0.47330035911220775,0.0010361435304923976,2.2924110275689222
RES
,rate-5,3.3613445378151255e-05,0.021336267840469533,24.4,0.6227540918453397,3.8629671676100203,0.0,0.0,0.6793769966424507,0.0022011232787438402,24.933333333333334
,rate-10,1.9169263865162026e-05,0.01136398973230656,46.4,0.46217041443792184,7.472812259763143,0.0,0.0,0.3124166062465756,0.0025091512202257004,48.900000000000006
,rate-15,1.7697683460606263e-05,0.008106767914088242,67.0,0.39680643140247723,11.117229595593084,0.0,0.0,0.5065231549247653,0.002195702226904377,72.06666666666668
,rate-20,1.989443675485826e-05,0.006713199629896652,83.6,0.3410385381385594,14.999546329724245,0.0,0.0,0.274088582176119,0.0019775911149238776,93.30507936507937
,rate-25,2.1624810513097242e-05,0.005707992244626804,98.6,0.33436813149440126,18.410060421609835,0.0,0.0,0.22615840991831906,0.001953736572268017,114.72808080808079
,rate-30,3.917607535932602e-05,0.005590973866040623,106.2,0.3462639784750455,22.10569133889346,0.0,0.0,0.080348470961222,0.001819223611964057,130.68204867028393
,rate-35,4.4113841564686335e-05,0.005478473912398157,111.2,0.3578746433097074,25.297337592682943,0.0,0.0,0.0395973580086616,0.0018064723014089418,144.79798304035143
,rate-40,0.00012060552765389455,0.005944029089618225,115.2,0.46682785914202773,28.97383783522867,0.0,0.0,0.2044936906812429,0.0016941185156423243,156.30269214293793
TIES
,rate-5,0.02853641456582633,0.4337885948538128,1.0,0.7736277955634244,3.3762600245817844,0.22310251642635542,0.23497539079920154,0.1815839957589287,0.002329029444447563,2.374498599439776
,rate-10,0.012451196140022163,0.45659121775473743,1.0,0.7921507265187652,6.51261747221358,0.2220579685649248,0.2358986597809901,0.25438054733593596,0.0021740327664251436,2.2253569356935694
,rate-15,0.007873343720181357,0.4663171440077911,1.0,0.8571987996334001,9.008427872792868,0.20853140072534923,0.21549872901135703,0.06622929301509022,0.002048811036919042,2.1715509726358206
,rate-20,0.00558372671437998,0.47993186279069133,1.0,0.8388220706141751,11.66355718942513,0.21695991473267978,0.22145775685832603,0.1035269417644974,0.00203126719875793,2.105577889447236
,rate-25,0.004350874465604354,0.4850819046189586,1.0,0.862841697771672,14.320229134742723,0.21032436756023257,0.21761710833521364,0.17000012179395482,0.0019389583317642382,2.0790168674698792
,rate-30,0.003578729994837377,0.4873561187397578,1.0,0.8990838470752095,16.551070506088106,0.19047546890853356,0.19503533953766522,0.10927879850745101,0.001816437232100994,2.066461538461539
,rate-35,0.0030168014641880855,0.49085260147632204,1.0,0.8843174589773612,18.5843748577464,0.19200729914310247,0.19307510600725047,0.29015614418075797,0.001774744379487964,2.0498469095374543
,rate-40,0.0026325036076701607,0.490911422736888,1.0,0.9122718132924618,21.469309297658913,0.18135197400538136,0.18308787087497003,0.14322518569960174,0.001691960399143485,2.0482570391064945
BFS
,rate-5,0.026496598639455783,0.44866453093225517,1.0,0.38931770177820596,2.9267126998787014,0.0,0.0,0.00017859812254261698,0.004006900316719304,2.2718367346938777
,rate-10,0.014386312100597815,0.4187246010704423,1.0,0.4412280490304001,5.204370776742205,0.0,0.0,1.8719195526983866e-09,0.0031882608083955467,2.409858585858586
,rate-15,0.009934337021585344,0.4161307674489613,1.0,0.45210432522053995,6.979572865094278,0.0,0.0,3.6222136401420357e-12,0.002712639725068233,2.470281879194631
,rate-20,0.009762550124359169,0.34342488644442404,1.0,0.5943222370070858,9.604355110152058,0.0,0.0,2.5719426588466375e-13,0.002406014743325034,2.9329849246231157
,rate-25,0.008087187459515482,0.33546703181278575,1.0,0.6300007747932836,11.53535767489529,0.0,0.0,2.462030579408747e-13,0.0023418308662043487,3.0056224899598396
,rate-30,0.007229616993258662,0.31982235970026796,1.0,0.6600544407639429,13.74886718473743,0.0,0.0,4.46842562951133e-13,0.002096982992824693,3.1544258639910816
,rate-35,0.006041827223923854,0.32676608775244553,1.0,0.6142811532982366,14.84006945025875,0.0,0.0,2.6440494121467486e-15,0.001993743589614866,3.102555873925502
,rate-40,0.005593544161912318,0.3124156089493664,1.0,0.6677432357757896,17.723006937402534,0.0,0.0,2.7092056245106227e-15,0.001850096259772533,3.226230576441103
DFS
,rate-5,0.33333333333333337,0.061597992265136646,1.0,0.8671940625478414,3.6127968567906414,0.0,0.0,0.6836598304164403,0.0037171705016701027,17.0
,rate-10,0.3333333333333332,0.031104642607553013,1.0,0.9297855787832209,6.8821906886888495,0.0,0.0,0.6836598304164403,0.004500256629087964,33.666666666666664
,rate-15,0.33333333333333326,0.020805179462935218,1.0,0.859465983956268,10.138533562227334,0.0,0.0,0.6836598304164403,0.00386890173495094,50.333333333333336
,rate-20,0.33333333333333315,0.01562978466054483,1.0,0.7739452376133019,13.399064521269029,0.0,0.0,0.6836598304164403,0.0033168522096588627,67.0
,rate-25,0.3333333333333336,0.01251629025530426,1.0,0.7525789894566894,16.35700742114969,0.0,0.0,0.6836598304164403,0.002896557673731096,83.66666666666667
,rate-30,0.3333333333333334,0.010437176129779424,1.0,0.7021461590773079,19.278559582014374,0.0,0.0,0.6836598304164403,0.0025552661509053135,100.33333333333333
,rate-35,0.33333333333333304,0.008950400897692903,1.0,0.693157797256083,22.154422852151047,0.0,0.0,0.6836598304164403,0.0023078276281573115,117.0
,rate-40,0.3333333333333336,0.007834391943717565,1.0,0.6728063622851603,25.08930981375238,0.0,0.0,0.6836598304164403,0.002101923853872507,133.66666666666666
