x1,y1,x2,y2,d,x
-30.513214,15.726788,13.408345,-25.369076,1,0
-30.513214,15.726788,-48.14702,23.794653,1,0
-30.513214,15.726788,-43.567593,16.659351,1,0
-30.513214,15.726788,-18.863834,32.764305,1,0
-31.405920000000002,17.541373999999998,-46.1932,15.834975,1,0
-31.405920000000002,17.541373999999998,15.209022500000001,24.900957000000002,1,0
-31.405920000000002,17.541373999999998,-32.2932,35.230255,1,0
-31.405920000000002,17.541373999999998,-34.30211,31.464788000000002,1,0
-31.405920000000002,17.541373999999998,-37.62123,10.566626,1,0
-31.405920000000002,17.541373999999998,-24.724732999999997,21.638367000000002,1,0
-31.405920000000002,17.541373999999998,9.635679,8.025284,1,0
-31.405920000000002,17.541373999999998,16.1126,-16.656298,1,0
-31.405920000000002,17.541373999999998,-16.547707,17.045944,1,0
-31.405920000000002,17.541373999999998,-31.707196999999997,15.356213,1,0
-31.405920000000002,17.541373999999998,-20.982368,28.120959999999997,1,0
-31.405920000000002,17.541373999999998,-3.6075428,-42.577988,1,0
-31.405920000000002,17.541373999999998,5.8977129999999995,-50.197285,1,0
-31.405920000000002,17.541373999999998,-25.315224,10.464502,1,0
-31.405920000000002,17.541373999999998,-24.546371,24.201488,1,0
-31.405920000000002,17.541373999999998,-32.061607,21.637047,1,0
-31.405920000000002,17.541373999999998,-20.92074,21.469238,1,0
-31.405920000000002,17.541373999999998,-19.570710000000002,13.536478,1,0
-31.405920000000002,17.541373999999998,-44.069817,20.088934,1,0
-31.405920000000002,17.541373999999998,13.192348,-49.006683,1,0
-31.405920000000002,17.541373999999998,20.90887,14.878326000000001,1,0
-31.405920000000002,17.541373999999998,-35.838383,30.186106,1,0
-31.405920000000002,17.541373999999998,-3.6266849999999997,-21.708842999999998,1,0
-31.405920000000002,17.541373999999998,-2.8186674,27.011086,1,0
-31.405920000000002,17.541373999999998,-20.964466,17.475756,1,0
-31.405920000000002,17.541373999999998,-18.727184,4.006033400000001,1,0
-31.405920000000002,17.541373999999998,-42.209118,17.008195999999998,1,0
-31.405920000000002,17.541373999999998,-18.041283,24.566422,1,0
-31.405920000000002,17.541373999999998,-48.312897,9.929075,1,0
-31.405920000000002,17.541373999999998,-32.72238,29.939245,1,0
-31.405920000000002,17.541373999999998,-24.152179999999998,30.515928000000002,1,0
-31.405920000000002,17.541373999999998,4.4981027000000005,-26.8758,1,0
-31.405920000000002,17.541373999999998,-41.61703,11.7062845,1,0
-31.405920000000002,17.541373999999998,-43.960335,18.869093,1,0
-31.405920000000002,17.541373999999998,-22.421972,15.958796,1,0
-31.405920000000002,17.541373999999998,-49.490111999999996,19.790329999999997,1,0
-31.405920000000002,17.541373999999998,-41.70268,28.184935,1,0
-31.405920000000002,17.541373999999998,-18.970330999999998,34.762703,1,0
-31.405920000000002,17.541373999999998,-36.007690000000004,25.231544,1,0
-31.405920000000002,17.541373999999998,-31.676594,8.414292999999999,1,0
-31.405920000000002,17.541373999999998,-14.921629999999999,23.706263,1,0
