ori
our
rate_10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.01743722689877238,0.0049800529571885025,0.263495969090535,1,0.7031908187955258,13.238991419105337,0.3557145210365026,0.28612346882808215,0.9328947800477777
SRW
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.010074501603538408,0.01816886980397179,0.08871976106871925,1,0.7236607242877677,9.548672425959026,0.05055762504915046,0.0543427775197399,0.027741134147981183
ISRW
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.01862341787947815,0.004393883247523634,0.28554165399111553,1,0.441771329880601,8.658070445533964,0.5573835801017486,0.4642922442582884,0.005140753603022352
RJ
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.007169663300902181,0.0004882451383477047,0.009968276798836979,331,0.40125747182822247,23.534359375944337,0.10041007624257875,0.30813124108416545,0.02048398356815928
RNS
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.009485516402450243,0.00043029153763891095,0.016062739531861617,312,0.7693088832128443,20.60404243085785,0.11847496594321338,0.21049812533476164,0.7511697354368839
RES
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.004314593858168735,2.239768045725939e-06,0.002257095615760601,249,0.26727634726012955,20.616516319441143,0.0,0,0.2638476123309137
TIES
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.013764591936410256,0.005155002635856224,0.14529248345755408,27,0.6301126442041521,14.021871459448672,0.46116861386817415,0.5107131262850341,0.012050998920743905
BFS
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.01899275405906133,0.004716528492206064,0.26765938111988563,1,0.7021650631279509,8.460714078387563,0.0,0,4.0817926816316685e-10
DFS
rate-10
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.005687638684279518,0.32157372459501465,0.005503497091783665,1,0.8296700996523835,13.079465982563729,0.0,0,0.6440701064323529
