ori
our
rate_30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.007197898361530638,0.001808385325023893,0.2400606850529195,1,0.7722659903843804,30.947347910126783,0.376569032495688,0.32281022403145854,0.46969900603178116
SRW
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.006480802739666605,0.004521148358969465,0.1149149386616602,1,0.685470093488152,23.742792287113367,0.07319943765340063,0.08495709237758707,0.009876240343664855
ISRW
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.007325868491091918,0.0016977035561384574,0.2548088892459946,1,0.7173936103771532,21.203846562857095,0.4961053039373649,0.40635843519980763,3.717828060967321e-07
RJ
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.004268058441444694,0.001470630499942603,0.09315170365761868,359,0.5638028423975789,43.05648029672678,0.2530828411985129,0.28,0.4375153230137484
RNS
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.004453294858259979,0.0015903269284699257,0.07657961551037593,385,0.6045709945450579,44.186215463284995,0.24712689166164678,0.3353211323599973,0.010106863929744692
RES
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.0031788173069675577,0.0005599759238196147,0.006147446365186943,429,0.5577501835526977,53.86500686549097,0.0019375470278404816,0.005005561735261402,0.024046061860036216
TIES
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.0069361209609393555,0.0017290269450708304,0.2356260881228218,14,0.6765026035749377,26.505136539533645,0.4800996069520807,0.4190562410359174,0.0002169781807900284
BFS
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.007900227123839997,0.0021706238986090557,0.2092314497422618,1,0.4613795856635711,30.910140823537777,0.0,0,1.1102230246251565e-15
DFS
rate-30
 ,ACE,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC
,0.002261730198129724,0.30686184967205915,0.0019258868783726688,1,0.6698965695953231,37.44101593102096,0.0,0,0.06875618680869977
